Category of Major Heads of Development,Major Heads of Development,Tenth Plan (2002-07) - Projected Outlay,Annual Plan (2002-03) - Approved Outlay,Annual Plan (2002-03) - Revised Outlay,Annual Plan (2002-03) - Actual Expenditure,Annual Plan (2003-04) - Approved Outlay,Annual Plan (2003-04) - Revised Outlay,Annual Plan (2003-04) - Actual Expenditure,Annual Plan (2004-05) - Approved Outlay,Annual Plan (2004-05) - Revised Outlay,Annual Plan (2004-05) - Actual Expenditure,Annual Plan (2005-06) - Approved Outlay,Annual Plan (2005-06) - Revised Outlay,Annual Plan (2005-06) - Actual Expenditure,Annual Plan (2006-07) - Approved Outlay,Annual Plan (2006-07) - Revised Outlay,Annual Plan (2006-07) - Actual Expenditure
Agriculture & Allied Activities,Crop Husbandry,19412,3944,2064,1636.79,1497,910.28,831.14,2174.5,1591.56,1171.53,2684,2684,1590.8,3225,5155,4842.63
Agriculture & Allied Activities,Horticulture,NA,NA,NA,0,0,0,118.69,266,NA,0,442,442,622.01,536,536,370.22
Agriculture & Allied Activities,Soil and Water Conservation (including control of shifting cultivation),1327,229,122,189.58,54,37.5,23.7,69.2,64.97,21.33,72.52,72.52,38.56,75,97,60.52
Agriculture & Allied Activities,Animal Husbandry,11033,2187,1245,743.64,928,305.61,198.42,752,560.65,671.93,782,782,1104.22,800,675,993.04
Agriculture & Allied Activities,Dairy Development,3215,623,315,260.1,168,88.39,175.12,325,146.35,89.57,389,389,369.55,763,642,481.47
Agriculture & Allied Activities,Fisheries,17560,3140,2055,1683.78,2518,2973,2702.29,3195,3345,3653.24,3295,3295,3774.82,3915,3917,4112.08
Agriculture & Allied Activities,Forestry & Wildlife,16443,3920,1723,1037.76,1783,745.95,428.53,1940.95,1440.95,643.32,2221.52,2521.52,1367.5,3042.6,2192.6,1872.9
Agriculture & Allied Activities,Plantations,1306,209,171,138.41,53,265.56,390.01,353,203.92,170,260,260,287.58,287,287,220.97
Agriculture & Allied Activities,"Food,Storage & Warehousing",301,48,72,8.61,13,13,5.14,16.07,16.07,18.61,36.07,36.07,22.03,43,43,103.26
Agriculture & Allied Activities,Agricultural Research & Education,5427,932,505,721.21,247,394.41,347.31,616.1,555.1,672.85,799.76,799.76,1684.5,992,1860,867.28
Agriculture & Allied Activities,Agricultural Financial Institutions,2522,404,288,0,108,120.35,0,186,100,0,186,186,77.21,200,200,200
Agriculture & Allied Activities,Cooperation,8995,1441,1034,855.73,686,574.73,712.88,689.73,1492.75,1211.29,1384.95,1384.95,1785,3548.9,1552,1666.85
Agriculture & Allied Activities,Other Agricultural Programmes - Agriculture marketing,0,633,362,65.3,170,0,167.03,189,188,149.45,0,0,165.97,0,0,0
Agriculture & Allied Activities,Other Agricultural Programmes - Others,3922,0,0,0,0,137,0,NA,NA,0,282,282,0,357,357,298.35
Agriculture & Allied Activities,Total - Agriculture & Allied Activities,91463,17710,9956,7340.91,8225,6565.78,6100.26,10772.55,9705.32,8473.12,12834.82,13134.82,12889.75,17784.5,17513.6,16089.57
